IBM Db2 Interactive CLI Sample Program (extração paginada)
> SELECT COALESCE(userid, '') || ',' || COALESCE(CHAR(status), '') || ',' || COALESCE(CHAR(changedate), '') || ',' || COALESCE(REPLACE(memo, ',', ';'), '') || ',' || COALESCE(changeby, '') as CSV_ROW FROM MAXUSERSTATUS;
FetchAll:  Columns: 1
  CSV_ROW 
  AANDREZACSANTOS,NEWREG                              ,2025-03-26-18.07.08.000000,,MAXADMIN
  ALEXANDRECURY,INACTIVE                            ,2026-04-08-10.55.19.612000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREDECARVALHO,ACTIVE                              ,2023-10-31-15.30.26.000000,,ITEAM
  ALEXANDREDECARVALHO,INACTIVE                            ,2026-04-08-10.55.12.278000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREDEOLIVEIRA,NEWREG                              ,2024-12-14-19.12.53.000000,,MAXADMIN
  ALEXANDREDEOLIVEIRA,ACTIVE                              ,2024-12-14-19.13.22.000000,,SOCRATESREIS
  ALEXANDREDEOLIVEIRA,INACTIVE                            ,2025-02-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREDEOLIVEIRA,ACTIVE                              ,2026-01-28-09.35.07.389000,,MAXADOOG
  ALEXANDREDEOLIVEIRA,INACTIVE                            ,2026-04-08-10.55.16.270000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREHELON,NEWREG                              ,2025-06-19-13.11.29.000000,,ITEAM
  ALEXANDREHELON,ACTIVE                              ,2025-06-19-13.12.21.000000,,SOCRATESREIS
  ALEXANDREHELON,INACTIVE                            ,2025-07-31-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALEXANDREHELON,ACTIVE                              ,2025-09-07-13.52.20.000000,,SOCRATESREIS
  ALEXANDREHELON,INACTIVE                            ,2026-04-08-10.55.15.288000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREJUNIOR,NEWREG                              ,2025-01-18-21.22.39.000000,,MAXADMIN
  ALEXANDREJUNIOR,ACTIVE                              ,2025-01-18-21.23.37.000000,,CAROLINABRAGA
  ALEXANDREJUNIOR,INACTIVE                            ,2025-03-19-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREJUNIOR,ACTIVE                              ,2026-01-28-09.35.07.392000,,MAXADOOG
  ALEXANDREJUNIOR,INACTIVE                            ,2026-04-08-10.55.12.417000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREMARINS,NEWREG                              ,2025-12-10-19.34.43.450000,,ITEAM
  ALEXANDREMARINS,ACTIVE                              ,2025-12-10-19.35.12.392000,,CAROLINABRAGA
  ALEXANDREMARINS,INACTIVE                            ,2026-04-08-10.55.17.807000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDREOLIVEIRA,NEWREG                              ,2024-06-16-08.25.30.000000,,MAXADMIN
  ALEXANDREOLIVEIRA,ACTIVE                              ,2024-06-16-08.26.32.000000,,SOCRATESREIS
  ALEXANDREOLIVEIRA,INACTIVE                            ,2024-08-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDRERIBEIRO,ACTIVE                              ,2018-07-09-11.19.00.000000,,JULINECAETANO
  ALEXANDRERIBEIRO,INACTIVE                            ,2020-03-11-10.58.10.000000,Usuario sem acessar os ultimos seis meses,MAXADOOG
  ALEXANDRERIBEIRO,ACTIVE                              ,2021-07-27-14.22.20.000000,,MAXADOOG
  ALEXANDRERIBEIRO,INACTIVE                            ,2021-09-17-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDRERODRIGUESS,NEWREG                              ,2024-01-15-09.23.51.000000,,MAXADMIN
  ALEXANDRERODRIGUESS,ACTIVE                              ,2024-01-15-09.26.28.000000,,CAROLINABRAGA
  ALEXANDRERODRIGUESS,INACTIVE                            ,2024-03-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDRESOUSA,ACTIVE                              ,2025-09-02-09.56.59.000000,,ITEAM
  ALEXANDRESOUSA,INACTIVE                            ,2026-04-08-10.55.13.656000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXANDRESOUZAA,NEWREG                              ,2024-01-12-19.59.21.000000,,MAXADMIN
  ALEXANDRESOUZAA,ACTIVE                              ,2024-01-12-20.00.35.000000,,CAROLINABRAGA
  ALEXANDRESOUZAA,INACTIVE                            ,2024-01-13-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALEXARAUJO,NEWREG                              ,2024-04-11-14.38.03.000000,,MAXADMIN
  ALEXARAUJO,ACTIVE                              ,2024-04-11-14.40.13.000000,,CAROLINABRAGA
  ALEXARAUJO,INACTIVE                            ,2024-06-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXARAUJO,ACTIVE                              ,2024-06-27-07.19.22.000000,,MAXADOOG
  ALEXARAUJO,INACTIVE                            ,2024-07-31-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALEXARAUJO,ACTIVE                              ,2024-08-01-08.46.25.000000,Ticket#0368405 — Reativação de conta Maximo,ITEAM
  ALEXARAUJO,INACTIVE                            ,2024-08-02-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALEXFEIJO,NEWREG                              ,2025-04-20-17.46.43.000000,,MAXADMIN
  ALEXFEIJO,ACTIVE                              ,2025-04-20-17.47.26.000000,,SOCRATESREIS
  ALEXFEIJO,INACTIVE                            ,2025-06-14-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXFEIJO,ACTIVE                              ,2026-01-28-09.35.07.395000,,MAXADOOG
  ALEXFEIJO,INACTIVE                            ,2026-04-08-10.55.17.610000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXFRANCO,ACTIVE                              ,2025-12-23-14.48.02.505000,,ITEAM
  ALEXFRANCO,INACTIVE                            ,2026-04-08-10.55.18.762000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXGUIMARAES,NEWREG                              ,2023-12-22-16.50.36.000000,,MAXADMIN
  ALEXGUIMARAES,ACTIVE                              ,2023-12-22-16.51.05.000000,,CAROLINABRAGA
  ALEXGUIMARAES,INACTIVE                            ,2024-02-01-00.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALEXGUIMARAES,ACTIVE                              ,2024-12-09-10.22.49.000000,,MAXADOOG
  ALEXGUIMARAES,INACTIVE                            ,2024-12-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXGUIMARAES,ACTIVE                              ,2024-12-10-16.41.53.000000,,MAXADOOG
  ALEXGUIMARAES,INACTIVE                            ,2025-02-25-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXGUIMARAES,ACTIVE                              ,2026-01-28-09.35.07.399000,,MAXADOOG
  ALEXGUIMARAES,INACTIVE                            ,2026-04-08-10.55.13.078000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXMOTA,NEWREG                              ,2026-03-30-10.29.06.505000,,MAXADMIN
  ALEXMOTA,ACTIVE                              ,2026-03-30-10.34.49.639000,,SOCRATESREIS
  ALEXMOTA,INACTIVE                            ,2026-05-22-07.45.01.778000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXMOTA,ACTIVE                              ,2026-05-23-13.43.54.085000,,SOCRATESREIS
  ALEXRESENDE,NEWREG                              ,2024-12-15-15.55.01.000000,,MAXADMIN
  ALEXRESENDE,ACTIVE                              ,2024-12-15-15.55.38.000000,,CAROLINABRAGA
  ALEXRESENDE,INACTIVE                            ,2024-12-29-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALEXSALUSTINO,ACTIVE                              ,2023-02-23-17.31.20.000000,,ITEAM
  ALEXSALUSTINO,INACTIVE                            ,2023-04-15-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXSALUSTINO,ACTIVE                              ,2023-10-26-15.26.35.000000,,ITEAM
  ALEXSALUSTINO,BLOCKED                             ,2023-10-31-08.27.08.000000,,MAXADMIN
  ALEXSALUSTINO,ACTIVE                              ,2023-10-31-08.36.17.000000,,MAXADMIN
  ALEXSALUSTINO,INACTIVE                            ,2026-05-23-07.45.02.318000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXSALUSTINO,ACTIVE                              ,2026-06-15-09.01.50.951000,Ticket#2026061529000092,HELPDESK
  ALEXSANDERVIANA,ACTIVE                              ,2016-03-08-10.19.15.000000,,JULINECAETANO
  ALEXSANDERVIANA,INACTIVE                            ,2017-03-20-15.13.21.000000,Saneamento usuários Março/17,MAXADOOG
  ALEXSANDRO,ACTIVE                              ,2014-03-07-17.58.06.000000,,MAXADMIN
  ALEXSANDROBERNARDO,NEWREG                              ,2026-03-11-09.12.41.438000,,MAXADMIN
  ALEXSANDROBERNARDO,ACTIVE                              ,2026-03-11-09.17.52.909000,,CAROLINABRAGA
  ALEXSANDROBERNARDO,INACTIVE                            ,2026-03-26-01.00.00.935000,Automatic Inativate expired user access,MAXADMIN
  ALEXSANDROBERNARDO,ACTIVE                              ,2026-03-26-19.55.12.437000,,SOCRATESREIS
  ALEXSANDROBERNARDO,INACTIVE                            ,2026-03-27-01.00.01.147000,Automatic Inativate expired user access,MAXADMIN
  ALEXSANDROBERNARDO,ACTIVE                              ,2026-03-27-14.21.58.963000,,SOCRATESREIS
  ALEXSANDROBERNARDO,INACTIVE                            ,2026-05-19-07.45.01.602000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXSANDRORODRIGUES,NEWREG                              ,2024-08-19-10.58.01.000000,,MAXADMIN
  ALEXSANDRORODRIGUES,ACTIVE                              ,2024-08-19-10.59.02.000000,,SOCRATESREIS
  ALEXSANDRORODRIGUES,INACTIVE                            ,2024-10-09-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXSANDROSSANTOS,ACTIVE                              ,2025-10-22-14.36.59.000000,,ITEAM
  ALEXSANDROSSANTOS,INACTIVE                            ,2026-04-08-10.55.15.439000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXSPADA,ACTIVE                              ,2026-01-12-16.13.37.093000,,ITEAM
  ALEXSPADA,INACTIVE                            ,2026-04-08-10.55.19.569000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXSSANDROBARCELOS,NEWREG                              ,2024-06-16-14.41.32.000000,,MAXADMIN
  ALEXSSANDROBARCELOS,ACTIVE                              ,2024-06-16-14.42.21.000000,,SOCRATESREIS
  ALEXSSANDROBARCELOS,INACTIVE                            ,2024-08-06-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALEXVICENTE,NEWREG                              ,2026-01-21-17.47.31.795000,,ITEAM
  ALEXVICENTE,ACTIVE                              ,2026-01-21-17.49.06.721000,,SOCRATESREIS
  ALEXVICENTE,INACTIVE                            ,2026-04-10-07.45.01.534000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALFERREIRA,NEWREG                              ,2026-02-23-14.45.19.778000,,ITEAM
  ALFERREIRA,ACTIVE                              ,2026-02-23-20.02.50.736000,,SOCRATESREIS
  ALFERREIRA,INACTIVE                            ,2026-03-13-04.37.05.158000,Automatic Inativate expired user access,MAXADMIN
  ALFREDOANGULO,ACTIVE                              ,2014-03-07-17.58.07.000000,,MAXADMIN
  ALFREDOANGULO,INACTIVE                            ,2016-12-01-09.51.35.000000,Desativando usuarios que não acessaram o sistema em 2016,MAXADOOG
  ALFREDOCHAGAS,NEWREG                              ,2024-12-10-19.53.26.000000,,MAXADMIN
  ALFREDOCHAGAS,ACTIVE                              ,2024-12-10-20.05.06.000000,,SOCRATESREIS
  ALFREDOCHAGAS,BLOCKED                             ,2024-12-12-15.36.11.000000,,MAXADMIN
  ALFREDOCHAGAS,ACTIVE                              ,2024-12-12-15.39.53.000000,,MAXADMIN
  ALFREDOCHAGAS,INACTIVE                            ,2025-02-08-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALFREDOCHAGAS,ACTIVE                              ,2026-01-28-09.35.07.403000,,MAXADOOG
  ALFREDOCHAGAS,INACTIVE                            ,2026-04-08-10.55.15.574000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALINEAMANCIO,ACTIVE                              ,2014-04-08-12.55.08.000000,,MAXADMIN
  ALINEAMANCIO,INACTIVE                            ,2023-07-20-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALINEAMANCIO,ACTIVE                              ,2025-10-13-15.23.05.000000,,MAXADOOG
  ALINEAMANCIO,BLOCKED                             ,2025-10-20-10.21.44.000000,,MAXADMIN
  ALINEAMANCIO,ACTIVE                              ,2025-10-20-10.23.22.000000,,MAXADMIN
  ALINECARDOSO,ACTIVE                              ,2026-05-28-10.54.17.228000,,ITEAM
  ALINEOLIVEIRA,NEWREG                              ,2023-12-18-20.24.42.000000,,MAXADMIN
  ALINEOLIVEIRA,ACTIVE                              ,2023-12-18-20.29.32.000000,,CAROLINABRAGA
  ALINEOLIVEIRA,INACTIVE                            ,2024-06-30-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  ALINEOLIVEIRA,ACTIVE                              ,2024-07-10-10.01.01.000000,,MAXADOOG
  ALINEOLIVEIRA,BLOCKED                             ,2024-12-24-21.47.56.000000,,MAXADMIN
  ALINEOLIVEIRA,ACTIVE                              ,2024-12-24-21.48.13.000000,,MAXADMIN
  ALISSONBARROS,ACTIVE                              ,2023-10-31-15.31.16.000000,,ITEAM
  ALISSONBARROS,INACTIVE                            ,2024-12-07-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALLANMARQUES,ACTIVE                              ,2024-12-23-16.50.06.000000,,ITEAM
  ALLANMARQUES,INACTIVE                            ,2025-02-12-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALLENBATTAIA,ACTIVE                              ,2014-03-07-17.58.07.000000,,MAXADMIN
  ALLEXANDERFREITAS,ACTIVE                              ,2023-02-23-17.27.53.000000,,ITEAM
  ALLEXANDERFREITAS,BLOCKED                             ,2023-03-22-17.31.13.000000,,MAXADMIN
  ALLEXANDERFREITAS,ACTIVE                              ,2023-03-22-17.33.59.000000,,MAXADMIN
  ALLEXANDERFREITAS,INACTIVE                            ,2023-05-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALMEIDAADRIEL,NEWREG                              ,2026-01-16-22.34.41.977000,,ITEAM
  ALMEIDAADRIEL,ACTIVE                              ,2026-01-16-22.36.04.222000,,CAROLINABRAGA
  ALMEIDAADRIEL,INACTIVE                            ,2026-04-08-10.55.20.179000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALMEIDALUCAS,NEWREG                              ,2025-04-13-13.39.07.000000,,MAXADMIN
  ALMEIDALUCAS,ACTIVE                              ,2026-01-11-07.18.09.135000,,CAROLINABRAGA
  ALMEIDALUCAS,INACTIVE                            ,2026-04-08-10.55.17.592000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALMEIDAPEDRO,NEWREG                              ,2025-04-13-13.40.04.000000,,MAXADMIN
  ALMEIDAPEDRO,ACTIVE                              ,2026-01-11-07.18.16.179000,,CAROLINABRAGA
  ALMEIDAPEDRO,INACTIVE                            ,2026-04-08-10.55.15.226000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALMEIDASACRAMENTO,NEWREG                              ,2025-04-12-17.58.37.000000,,MAXADMIN
  ALMEIDASACRAMENTO,ACTIVE                              ,2025-04-14-10.27.43.000000,Ticket#2025041329000109 — Falha de acesso no maximo da Norbe 9,ITEAM
  ALMEIDASACRAMENTO,INACTIVE                            ,2025-06-29-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALMEIDASACRAMENTO,ACTIVE                              ,2026-01-28-09.35.07.407000,,MAXADOOG
  ALMEIDASACRAMENTO,INACTIVE                            ,2026-04-08-10.55.16.698000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALMIRFILHO,ACTIVE                              ,2023-10-31-15.32.02.000000,,ITEAM
  ALMIRFILHO,INACTIVE                            ,2024-06-28-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALMIRFILHO,ACTIVE                              ,2024-07-29-14.07.52.000000,0367863,HELPDESK
  ALMIRFILHO,BLOCKED                             ,2026-04-08-05.14.30.928000,,MAXADMIN
  ALMIRFILHO,ACTIVE                              ,2026-04-08-05.21.10.348000,,MAXADMIN
  ALTAMIRSANTOS,NEWREG                              ,2024-12-01-15.28.52.000000,,MAXADMIN
  ALTAMIRSANTOS,ACTIVE                              ,2024-12-01-15.47.14.000000,,SOCRATESREIS
  ALTAMIRSANTOS,INACTIVE                            ,2025-01-23-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALTAMIRSANTOS,ACTIVE                              ,2026-01-28-09.35.07.414000,,MAXADOOG
  ALTAMIRSANTOS,INACTIVE                            ,2026-04-08-10.55.16.048000,Usuario inativo por mais de 50 dias,MAXADMIN
  ALVAROBURGHARDT,ACTIVE                              ,2014-03-07-17.58.06.000000,,MAXADMIN
  ALVAROBURGHARDT,INACTIVE                            ,2019-07-01-15.36.00.000000,Ticket#085086 - Rescisão Contratual - 18/06/19,JULINECAETANO
  ALVAROCAMPOS,ACTIVE                              ,2026-06-08-11.47.39.320000,,ITEAM
  ALXAVIER,NEWREG                              ,2024-02-19-09.45.13.000000,,MAXADMIN
  ALXAVIER,ACTIVE                              ,2024-02-19-09.46.46.000000,,SOCRATESREIS
  ALXAVIER,INACTIVE                            ,2024-04-10-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AMANDAROSA,ACTIVE                              ,2017-01-09-09.27.07.000000,,JULINECAETANO
  AMANDAROSA,INACTIVE                            ,2017-03-20-15.14.10.000000,,MAXADOOG
  AMANDASOLIVEIRA,ACTIVE                              ,2020-01-28-12.49.53.000000,,JULINECAETANO
  AMANDASOLIVEIRA,INACTIVE                            ,2020-02-14-15.26.07.000000,Ticket#0123946,JULINECAETANO
  AMARALGILBERTO,NEWREG                              ,2026-05-20-08.06.34.593000,,MAXADMIN
  AMARALGILBERTO,ACTIVE                              ,2026-05-20-08.07.03.637000,,SOCRATESREIS
  AMARALPENHA,NEWREG                              ,2026-04-26-17.07.57.705000,,MAXADMIN
  AMARALPENHA,ACTIVE                              ,2026-04-26-17.08.51.089000,,SOCRATESREIS
  AMARALPENHA,INACTIVE                            ,2026-06-26-07.45.01.280000,Usuario inativo por mais de 50 dias,MAXADMIN
  AMORAIS,NEWREG                              ,2025-08-02-05.33.00.000000,,ITEAM
  AMORAIS,ACTIVE                              ,2025-08-02-05.33.33.000000,,CAROLINABRAGA
  AMORAIS,INACTIVE                            ,2025-10-02-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AMORAIS,ACTIVE                              ,2026-01-28-09.35.07.419000,,MAXADOOG
  AMORAIS,INACTIVE                            ,2026-04-08-10.55.15.884000,Usuario inativo por mais de 50 dias,MAXADMIN
  AMOSFERREIRA,INACTIVE                            ,2024-05-23-18.03.55.000000,,MAXADOOG
  AMOSFERREIRA,ACTIVE                              ,2024-05-25-20.37.02.000000,0358295,HELPDESK
  AMOSFERREIRA,INACTIVE                            ,2024-05-26-01.00.00.000000,Automatic Inativate expired user access,MAXADMIN
  AMOTA,NEWREG                              ,2025-06-23-08.33.45.000000,,ITEAM
  AMOTA,ACTIVE                              ,2025-06-23-08.34.16.000000,,SOCRATESREIS
  AMOTA,INACTIVE                            ,2025-08-13-06.00.00.000000,Usuario inativo por mais de 50 dias,MAXADMIN
  AMOTA,ACTIVE                              ,2026-01-28-09.35.07.421000,,MAXADOOG
  AMOTA,INACTIVE                            ,2026-04-08-10.55.13.252000,Usuario inativo por mais de 50 dias,MAXADMIN
